year,month,day,hour,minute,dow,dep_delay,carrier,carrier_name,tailnum,flight,dest,air_time,distance,wind_dir,wind_speed,wind_gust,visib,plane_year,plane_type,plane_manufacturer,plane_model,plane_engines,plane_seats,plane_engine,dest_name,dest_lat,dest_lon,dest_alt,dest_tz,dest_dst,dest_tzone
2022,7,22,8,40,Fri,1,WN,Southwest Airlines Co.,N744SW,71,AUS,129,1042,240,5.7539,6.621473041999999,10,1999,Fixed wing multi engine,BOEING,737-7H4,2,140,Turbo-fan,Austin Bergstrom International Airport,30.194499969482425,-97.6698989868164,542,-6,A,America/Chicago
2022,5,17,7,30,Tue,-1,DL,Delta Air Lines Inc.,N329DN,49,MCO,159,1310,30,5.7539,6.621473041999999,10,2017,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,Orlando International Airport,28.429399490356445,-81.30899810791016,96,-5,A,America/New_York
2022,8,4,22,45,Thu,-3,OO,SkyWest Airlines Inc.,N281SY,267,BIS,61,386,160,5.7539,6.621473041999999,10,2018,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LL,2,88,Turbo-fan,Bismarck Municipal Airport,46.772701263427734,-100.74600219726562,1661,-6,A,America/Chicago
2022,4,1,18,7,Fri,55,DL,Delta Air Lines Inc.,N910DU,12,ATL,115,907,190,5.7539,6.621473041999999,10,2018,Fixed wing multi engine,BOEING,737-900ER,2,222,Turbo-fan,Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,1026,-5,A,America/New_York
2022,5,29,22,47,Sun,-4,OO,SkyWest Airlines Inc.,N294SY,318,BIS,59,386,150,14.960139999999999,17.215829909199996,10,2019,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,Turbo-fan,Bismarck Municipal Airport,46.772701263427734,-100.74600219726562,1661,-6,A,America/Chicago
2022,11,1,8,31,Tue,-5,DL,Delta Air Lines Inc.,N864DN,112,SLC,139,991,0,0,0,10,2016,Fixed wing multi engine,BOEING,737-932ER,2,222,Turbo-fan,Salt Lake City International Airport,40.78839874267578,-111.97799682617188,4227,-7,A,America/Denver
2022,12,21,10,0,Wed,50,OO,SkyWest Airlines Inc.,N256SY,398,SAT,162,1097,0,0,0,10,2017,Fixed wing multi engine,EMBRAER S A,ERJ 170-200 LR,2,88,Turbo-fan,San Antonio International Airport,29.533700942993164,-98.46980285644533,809,-6,A,America/Chicago
2022,3,29,15,17,Tue,-2,9E,Endeavor Air Inc.,N921XJ,577,CVG,77,596,140,19.56326,22.5130083428,10,2008,Fixed wing multi engine,BOMBARDIER INC,CL-600-2D24,2,95,Turbo-fan,Cincinnati Northern Kentucky International Airport,39.0488014221,-84.6678009033,896,-5,A,America/New_York
2022,10,27,22,59,Thu,12,DL,Delta Air Lines Inc.,N347NB,282,FSD,36,196,170,11.5078,13.242946083999998,10,2002,Fixed wing multi engine,AIRBUS,A319-114,2,145,Turbo-fan,Joe Foss Field Airport,43.5820007324,-96.741897583,1429,-6,A,America/Chicago
2022,12,24,13,0,Sat,-2,DL,Delta Air Lines Inc.,N370DN,68,BOS,133,1124,300,12.658579999999999,14.567240692399997,10,2019,Fixed wing multi engine,AIRBUS,A321-211,2,199,Turbo-fan,General Edward Lawrence Logan International Airport,42.36429977,-71.00520325,20,-5,A,America/New_York
